song_name,freq1,freq2,dt,anchor_times
A Day In The Life,131,99,0,2
A Day In The Life,131,36,3,2
A Day In The Life,131,63,4,2
A Day In The Life,99,36,3,2
A Day In The Life,99,63,4,2
A Day In The Life,99,46,7,2
A Day In The Life,36,63,1,5
A Day In The Life,36,46,4,5
A Day In The Life,36,184,4,5
A Day In The Life,63,46,3,6
A Day In The Life,63,184,3,6
A Day In The Life,63,109,9,6
A Day In The Life,46,184,0,9
A Day In The Life,46,109,6,9
A Day In The Life,46,74,9,9
A Day In The Life,184,109,6,9
A Day In The Life,184,74,9,9
A Day In The Life,184,9,15,9
A Day In The Life,109,74,3,15
A Day In The Life,109,9,9,15
A Day In The Life,109,36,9,15
A Day In The Life,74,9,6,18
A Day In The Life,74,36,6,18
A Day In The Life,74,61,13,18
A Day In The Life,9,36,0,24;549;9856
A Day In The Life,9,61,7,24
A Day In The Life,9,36,15,24;3598;7423
A Day In The Life,36,61,7,24
A Day In The Life,36,36,15,24
A Day In The Life,36,9,34,24
A Day In The Life,61,36,8,31
A Day In The Life,61,9,27,31
A Day In The Life,36,9,19,39
A Day In The Life,48,12,1,298;431;8006
A Day In The Life,48,97,14,298
A Day In The Life,48,48,14,298
A Day In The Life,12,97,13,299
A Day In The Life,12,48,13,299
A Day In The Life,12,36,14,299
A Day In The Life,97,48,0,312;4209
A Day In The Life,97,36,1,312
A Day In The Life,97,61,1,312;4209
A Day In The Life,48,36,1,312;9586
A Day In The Life,48,61,1,312;3020;4209;8006
A Day In The Life,48,24,1,312;4738
A Day In The Life,36,61,0,313;10026
A Day In The Life,36,24,0,313;7942
A Day In The Life,36,127,0,313;6766
A Day In The Life,61,24,0,313;383;7942
A Day In The Life,61,127,0,313
A Day In The Life,61,12,1,313;4210;4308;10026
A Day In The Life,24,127,0,313
A Day In The Life,24,12,1,313
A Day In The Life,24,126,16,313
A Day In The Life,127,12,1,313;8145
A Day In The Life,127,126,16,313
A Day In The Life,127,152,16,313
A Day In The Life,12,126,15,314
A Day In The Life,12,152,15,314
A Day In The Life,12,97,16,314
A Day In The Life,126,152,0,329
A Day In The Life,126,97,1,329
A Day In The Life,126,61,1,329
A Day In The Life,152,97,1,329
A Day In The Life,152,61,1,329;6941;6966;10568
A Day In The Life,152,72,1,329
A Day In The Life,97,61,0,330
A Day In The Life,97,72,0,330
A Day In The Life,97,12,2,330;9650
A Day In The Life,61,72,0,330
A Day In The Life,61,12,2,330;9588
A Day In The Life,61,84,6,330
A Day In The Life,72,12,2,330;381;4160;9619;9729
A Day In The Life,72,84,6,330
A Day In The Life,72,72,24,330
A Day In The Life,12,84,4,332
A Day In The Life,12,72,22,332
A Day In The Life,12,30,31,332
A Day In The Life,84,72,18,336
A Day In The Life,84,30,27,336
A Day In The Life,84,60,28,336
A Day In The Life,72,30,9,354;9662
A Day In The Life,72,60,10,354;406
A Day In The Life,72,152,10,354
A Day In The Life,30,60,1,363;431
A Day In The Life,30,152,1,363
A Day In The Life,30,108,1,363
A Day In The Life,60,152,0,364
A Day In The Life,60,108,0,364
A Day In The Life,60,122,0,364
A Day In The Life,152,108,0,364;3017
A Day In The Life,152,122,0,364;6941;6966;9870
A Day In The Life,152,12,1,364
A Day In The Life,108,122,0,364
A Day In The Life,108,12,1,364;9589
A Day In The Life,108,72,2,364
A Day In The Life,122,12,1,364;2970
A Day In The Life,122,72,2,364
A Day In The Life,122,48,4,364
A Day In The Life,12,72,1,365;432;9699
A Day In The Life,12,48,3,365
A Day In The Life,12,127,15,365
A Day In The Life,72,48,2,366;464;7360;9619
A Day In The Life,72,127,14,366
A Day In The Life,72,36,15,366;1048
A Day In The Life,48,127,12,368
A Day In The Life,48,36,13,368
A Day In The Life,48,84,13,368
A Day In The Life,127,36,1,380
A Day In The Life,127,84,1,380
A Day In The Life,127,72,1,380
A Day In The Life,36,84,0,381
A Day In The Life,36,72,0,381
A Day In The Life,36,183,1,381
A Day In The Life,84,72,0,381
A Day In The Life,84,183,1,381
A Day In The Life,84,61,2,381
A Day In The Life,72,183,1,381;3017;3068
A Day In The Life,72,61,2,381;4773
A Day In The Life,183,61,1,382;7855
A Day In The Life,183,12,1,382;3051
A Day In The Life,183,24,1,382
A Day In The Life,61,12,0,383;451;8007
A Day In The Life,61,48,1,383;9557
A Day In The Life,12,24,0,383
A Day In The Life,12,48,1,383;3019;4309;8509
A Day In The Life,12,72,23,383
A Day In The Life,24,48,1,383
A Day In The Life,24,72,23,383
A Day In The Life,24,60,33,383
A Day In The Life,48,72,22,384
A Day In The Life,48,60,32,384
A Day In The Life,48,36,32,384
A Day In The Life,72,36,10,406;2975
A Day In The Life,72,48,25,406
A Day In The Life,60,36,0,416;7327
A Day In The Life,60,48,15,416
A Day In The Life,60,30,15,416
A Day In The Life,36,48,15,416
A Day In The Life,36,30,15,416
A Day In The Life,36,12,16,416;9699
A Day In The Life,48,30,0,431;2971;4329
A Day In The Life,48,60,1,431;7281
A Day In The Life,30,12,1,431;6281
A Day In The Life,30,72,2,431
A Day In The Life,12,60,0,432
A Day In The Life,12,97,15,432
A Day In The Life,60,72,1,432;4159
A Day In The Life,60,97,15,432
A Day In The Life,60,108,15,432
A Day In The Life,72,97,14,433
A Day In The Life,72,108,14,433
A Day In The Life,72,215,14,433
A Day In The Life,97,108,0,447
A Day In The Life,97,215,0,447
A Day In The Life,97,30,1,447
A Day In The Life,108,215,0,447;512
A Day In The Life,108,30,1,447
A Day In The Life,108,152,1,447
A Day In The Life,215,30,1,447
A Day In The Life,215,152,1,447
A Day In The Life,215,121,2,447
A Day In The Life,30,152,0,448
A Day In The Life,30,121,1,448;7311
A Day In The Life,30,61,3,448
A Day In The Life,152,121,1,448
A Day In The Life,152,61,3,448
A Day In The Life,152,12,3,448
A Day In The Life,121,61,2,449;7929
A Day In The Life,121,12,2,449;4307;7915
A Day In The Life,121,48,2,449;9556
A Day In The Life,61,48,0,451;9995
A Day In The Life,61,72,2,451
A Day In The Life,12,48,0,451;7281
A Day In The Life,12,72,2,451
A Day In The Life,12,96,13,451
A Day In The Life,48,72,2,451
A Day In The Life,48,96,13,451
A Day In The Life,48,153,13,451
A Day In The Life,72,96,11,453
A Day In The Life,72,153,11,453
A Day In The Life,72,122,11,453
A Day In The Life,96,153,0,464
A Day In The Life,96,122,0,464
A Day In The Life,96,72,0,464
A Day In The Life,153,122,0,464;4557
A Day In The Life,153,72,0,464
A Day In The Life,153,48,2,464
A Day In The Life,122,72,0,464;1553
A Day In The Life,122,48,2,464
A Day In The Life,122,183,3,464
A Day In The Life,72,183,3,464
A Day In The Life,72,215,3,464
A Day In The Life,48,183,1,466
A Day In The Life,48,215,1,466;497
A Day In The Life,48,60,2,466;7344
A Day In The Life,183,215,0,467;512
A Day In The Life,183,60,1,467
A Day In The Life,183,84,3,467
A Day In The Life,215,60,1,467
A Day In The Life,215,84,3,467
A Day In The Life,215,48,13,467
A Day In The Life,60,84,2,468
A Day In The Life,60,48,12,468
A Day In The Life,60,183,12,468
A Day In The Life,84,48,10,470
A Day In The Life,84,183,10,470
A Day In The Life,84,170,14,470
A Day In The Life,48,183,0,480
A Day In The Life,48,170,4,480
A Day In The Life,48,84,10,480
A Day In The Life,183,170,4,480
A Day In The Life,183,84,10,480
A Day In The Life,183,96,16,480
A Day In The Life,170,84,6,484;3023
A Day In The Life,170,96,12,484
A Day In The Life,170,109,12,484
A Day In The Life,84,96,6,490
A Day In The Life,84,109,6,490
A Day In The Life,84,183,7,490
A Day In The Life,96,109,0,496
A Day In The Life,96,183,1,496
A Day In The Life,96,72,1,496;1032;8987;9728;9994
A Day In The Life,109,183,1,496
A Day In The Life,109,72,1,496
A Day In The Life,109,170,1,496
A Day In The Life,183,72,0,497;9585
A Day In The Life,183,170,0,497
A Day In The Life,183,48,0,497
A Day In The Life,72,170,0,497
A Day In The Life,72,48,0,497;4160;9597;9729;9995
A Day In The Life,72,195,0,497
A Day In The Life,170,48,0,497
A Day In The Life,170,195,0,497
A Day In The Life,170,215,1,497
A Day In The Life,48,195,0,497
A Day In The Life,48,122,2,497;8510
A Day In The Life,195,215,1,497
A Day In The Life,195,122,2,497
A Day In The Life,195,61,2,497
A Day In The Life,215,122,1,498;10026
A Day In The Life,215,61,1,498;4657;6966;7880;10041
A Day In The Life,215,153,4,498
A Day In The Life,122,61,0,499;4458;4590;5873;6045;9870;10120
